Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Princess,Ideal,H,VVS2,1.0,1.0,74.5,64.0,Excellent,Excellent,Slightly Thick to Thick,,5.47,5.47,4.07,2770,GIA,
Marquise,,E,VVS2,2.08,1.8,60.0,62.0,Very Good,Very Good,Thin to Thick,Very Small,12.41,6.91,4.15,36510,GIA,
Princess,Ideal,E,VVS2,1.04,1.0,70.3,68.0,Excellent,Excellent,Medium,Pointed,5.54,5.52,3.88,1210,IGI Lab-Grown,
Cushion,Ideal,D,VS1,2.53,1.02,65.7,64.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.01,7.85,5.16,4460,IGI Lab-Grown,
Round,Ideal,E,VS1,1.58,1.01,61.2,57.0,Excellent,Excellent,Medium,Pointed,7.47,7.52,4.59,1840,IGI Lab-Grown,
Radiant,,H,VVS1,1.01,1.4,66.7,67.0,Excellent,Excellent,Thick,,7.09,5.06,3.38,3500,GIA,Faint
Radiant,,F,VS1,1.01,1.47,65.2,61.0,Excellent,Excellent,Medium,Pointed,7.23,4.91,3.2,1050,IGI Lab-Grown,
Radiant,,E,VVS2,1.01,1.27,68.8,65.0,Excellent,Good,Slightly Thick to Thick,,6.3,4.96,3.41,3610,GIA,Faint
Oval,,D,VS1,1.0,1.46,61.0,58.0,Excellent,Excellent,Medium to Thick,,8.11,5.55,3.39,5100,GIA,Medium
Pear,,E,VS1,1.05,1.59,64.5,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.96,5.64,3.64,1060,IGI Lab-Grown,
Radiant,,F,VS1,1.07,1.43,67.7,66.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.12,4.99,3.38,1100,IGI Lab-Grown,
Round,Very Good,H,VS1,1.0,1.01,64.8,56.0,Excellent,Very Good,Medium to Thick,,6.18,6.25,4.02,3520,GIA,
Emerald,,G,VS2,1.0,1.32,68.8,66.0,Excellent,Very Good,Slightly Thick to Thick,,6.28,4.76,3.28,2720,GIA,Faint
Radiant,,F,VS1,1.01,1.42,68.2,64.0,Excellent,Excellent,Medium,Pointed,7.01,4.94,3.37,1050,IGI Lab-Grown,
Marquise,,E,VS1,1.09,2.05,63.0,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.84,5.3,3.34,1100,IGI Lab-Grown,
Heart,,D,VS1,1.01,1.15,63.5,55.0,Excellent,Very Good,Slightly Thick to Extremely Thick,,5.76,6.65,4.22,5710,GIA,
Oval,,H,VS2,1.0,1.37,66.3,54.0,Excellent,Excellent,Very Thin to Very Thick,,7.62,5.57,3.69,3350,GIA,
Cushion Modified,Very Good,H,VS2,1.01,1.22,68.5,61.0,Excellent,Excellent,Thin to Slightly Thick,,6.61,5.42,3.71,2480,GIA,Faint
Heart,,D,VS1,2.02,1.13,55.4,57.0,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.84,8.86,4.91,3550,IGI Lab-Grown,
Heart,,D,VS2,1.5,1.15,61.0,66.0,Excellent,Excellent,Slightly Thick to Very Thick,,6.84,7.85,4.79,9840,GIA,
Cushion Modified,Ideal,H,VS1,1.0,1.04,65.7,64.0,Excellent,Very Good,Medium to Slightly Thick,,5.9,5.67,3.73,2420,GIA,
Round,Very Good,F,VS2,1.0,1.02,61.2,62.0,Good,Good,Medium to Thick,,6.34,6.46,3.91,4130,GIA,
Square Radiant,,H,VVS2,1.04,1.0,71.2,56.0,Excellent,Excellent,Very Thick,,5.76,5.76,4.1,5080,GIA,
Princess,Ideal,E,VS1,1.11,1.03,71.4,67.0,Excellent,Excellent,Medium,Pointed,5.83,5.67,4.05,1100,IGI Lab-Grown,
Radiant,,D,VS1,1.04,1.45,66.7,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.26,5.01,3.34,1110,IGI Lab-Grown,
Pear,,F,VS2,1.02,1.53,63.8,59.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.57,5.6,3.57,4000,GIA,
Round,Very Good,H,VS2,1.0,1.01,64.6,55.0,Excellent,Very Good,Slightly Thick to Thick,,6.18,6.27,4.02,3610,GIA,
Round,Ideal,D,VS1,1.58,1.0,61.0,59.0,Excellent,Excellent,Medium,Pointed,7.48,7.51,4.57,1850,IGI Lab-Grown,
Pear,,E,VS1,1.06,1.63,60.8,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.29,5.71,3.47,1070,IGI Lab-Grown,
Marquise,,F,VS2,1.0,1.84,63.0,64.0,Excellent,Very Good,Slightly Thick to Very Thick,,9.7,5.26,3.32,4120,GIA,
Heart,,F,VS1,1.59,1.14,54.1,64.0,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.29,8.32,4.5,1940,IGI Lab-Grown,
Heart,,F,VS1,1.01,1.13,59.2,59.0,Excellent,Excellent,Medium to Thick,,6.13,6.92,4.1,3780,GIA,Faint
Pear,,G,VS1,1.0,1.58,56.6,62.0,Excellent,Very Good,Medium to Thick,,9.0,5.68,3.22,3700,GIA,
Pear,,E,VS2,1.03,1.54,56.8,65.0,Excellent,Excellent,Medium to Thick,,9.0,5.84,3.32,4960,GIA,
Heart,,G,VS1,1.55,1.09,58.5,59.0,Excellent,Excellent,Slightly Thick to Very Thick,,7.25,7.88,4.61,9520,GIA,Faint
Cushion,Ideal,E,VS1,2.05,1.0,67.3,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.31,7.3,4.91,3080,IGI Lab-Grown,
Oval,,H,VS2,1.01,1.37,64.9,57.0,Very Good,Excellent,Thick to Very Thick,,7.64,5.58,3.62,5250,GIA,
Round,Very Good,G,VS2,1.0,1.01,64.9,58.0,Excellent,Very Good,Slightly Thick to Thick,,6.22,6.28,4.06,3580,GIA,Faint
Radiant,,F,VS2,1.01,1.44,65.2,66.0,Excellent,Excellent,Slightly Thick to Thick,,7.25,5.02,3.27,4620,GIA,
Oval,,F,VS1,1.07,1.45,60.6,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.37,5.79,3.51,1070,IGI Lab-Grown,
Princess,Ideal,E,VS2,1.01,1.02,73.3,74.0,Very Good,Very Good,Medium to Slightly Thick,,5.64,5.53,4.05,4110,GIA,Faint
Pear,,D,VS2,1.0,1.75,59.9,66.0,Very Good,Very Good,Thick to Very Thick,,9.09,5.2,3.12,3930,GIA,
Emerald,,H,VS2,1.0,1.52,72.2,69.0,Very Good,Very Good,Thick to Extremely Thick,,6.73,4.43,3.2,2520,GIA,
Radiant,,E,VS1,1.01,1.1,74.5,70.0,Excellent,Good,Medium to Slightly Thick,,5.77,5.23,3.9,4050,GIA,
Round,Ideal,E,VS1,1.58,1.01,61.0,58.0,Excellent,Excellent,Thin to Medium,Pointed,7.48,7.52,4.58,1840,IGI Lab-Grown,
Oval,,D,VS1,1.02,1.48,63.0,57.0,Excellent,Excellent,Thin to Slightly Thick,Pointed,8.26,5.57,3.51,1080,IGI Lab-Grown,
Round,Excellent,H,VS2,1.0,1.01,62.9,57.0,Excellent,Very Good,Thin to Slightly Thick,,6.29,6.37,3.98,3680,GIA,
Cushion Modified,Very Good,H,VVS1,1.01,1.08,69.1,62.0,Excellent,Very Good,Medium to Thick,,5.89,5.43,3.75,2310,GIA,Medium
Oval,,H,VS1,1.01,1.53,59.8,60.0,Excellent,Excellent,Medium to Slightly Thick,,8.49,5.56,3.32,3910,GIA,
Pear,,F,VS1,1.01,1.5,63.5,60.0,Very Good,Excellent,Medium to Thick,,8.44,5.62,3.57,5030,GIA,
Princess,Ideal,G,VVS2,1.02,1.0,71.7,73.0,Excellent,Excellent,Medium to Slightly Thick,,5.47,5.45,3.91,3470,GIA,Faint
Princess,Ideal,E,VVS2,1.01,1.0,74.2,69.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.34,5.32,3.95,1180,IGI Lab-Grown,
Heart,,H,VS1,1.5,1.13,58.2,63.0,Excellent,Excellent,Medium to Thick,,7.05,8.0,4.65,7830,GIA,Faint
Radiant,,H,VVS1,1.0,1.39,65.9,66.0,Excellent,Very Good,Thick,,6.9,4.98,3.28,3380,GIA,
Oval,,G,VS1,1.0,1.32,58.5,64.0,Excellent,Very Good,Medium to Very Thick,,7.79,5.9,3.45,4530,GIA,
Round,Very Good,H,VS2,1.0,1.01,63.6,59.0,Excellent,Very Good,Medium to Thick,,6.25,6.29,3.99,3320,GIA,
Cushion,Ideal,D,VS1,1.92,1.02,66.3,63.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.33,7.2,4.77,5340,IGI Lab-Grown,
Princess,Ideal,G,VVS2,1.0,1.01,74.2,71.0,Excellent,Excellent,Slightly Thick to Thick,,5.5,5.42,4.02,5340,GIA,
Radiant,,G,VS1,1.02,1.37,67.4,67.0,Excellent,Excellent,Slightly Thick to Thick,,6.96,5.08,3.42,4340,GIA,
Pear,,H,VS2,1.01,1.49,64.2,56.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.26,5.55,3.56,4200,GIA,
Round,Very Good,H,VS1,1.01,1.01,64.4,57.0,Excellent,Very Good,Slightly Thick to Thick,,6.21,6.29,4.02,4200,GIA,
Round,Excellent,H,VS1,1.0,1.01,61.8,56.0,Excellent,Very Good,Slightly Thick,Very Small,6.33,6.4,3.93,3600,GIA,
Oval,,D,VS1,1.01,1.4,61.7,58.0,Excellent,Excellent,Slightly Thick,Pointed,8.01,5.74,3.54,1070,IGI Lab-Grown,
Pear,,F,VS2,1.01,1.53,63.3,57.0,Excellent,Excellent,Slightly Thick to Thick,,8.66,5.66,3.58,3940,GIA,Faint
Emerald,,H,VS2,1.0,1.3,72.4,63.0,Excellent,Excellent,Thick to Very Thick,,6.14,4.73,3.42,2240,GIA,
Pear,,E,VS1,1.04,1.56,63.9,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.75,5.6,3.58,1050,IGI Lab-Grown,
Marquise,,E,VS1,1.0,1.85,63.1,64.0,Very Good,Very Good,Medium to Very Thick,,9.87,5.34,3.37,4830,GIA,Faint
Princess,Ideal,D,VS1,1.06,1.01,71.6,70.0,Excellent,Excellent,Slightly Thick,Pointed,5.53,5.46,3.91,1140,IGI Lab-Grown,
Oval,,G,VS2,1.01,1.43,62.9,61.0,Excellent,Excellent,Slightly Thick to Thick,,7.97,5.56,3.5,4710,GIA,
Princess,Ideal,F,VVS2,1.0,1.03,72.2,75.0,Excellent,Very Good,Thick to Very Thick,,5.61,5.45,3.94,3670,GIA,
Princess,Ideal,D,VS2,1.0,1.03,69.5,75.0,Excellent,Very Good,Medium to Thick,,5.75,5.58,3.88,3890,GIA,
Pear,,H,VS2,1.01,1.55,61.7,62.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.78,5.66,3.49,2860,GIA,
Marquise,,H,VS1,1.01,1.92,64.9,57.0,Very Good,Very Good,Medium to Very Thick,,10.02,5.22,3.39,4690,GIA,
Heart,,D,VS1,1.84,1.13,54.3,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.67,8.67,4.71,3090,IGI Lab-Grown,
Pear,,F,VS1,1.02,1.67,62.8,57.0,Excellent,Excellent,Slightly Thick,Pointed,9.16,5.49,3.45,1020,IGI Lab-Grown,
Princess,Ideal,E,VS1,1.24,1.01,71.0,70.0,Excellent,Excellent,Medium,Pointed,5.83,5.8,4.12,1210,IGI Lab-Grown,
Pear,,E,VS1,1.05,1.61,62.1,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.13,5.68,3.53,1060,IGI Lab-Grown,
Round,Very Good,G,VS2,1.0,1.01,64.8,59.0,Very Good,Excellent,Medium to Thick,,6.17,6.21,4.01,3970,GIA,
Oval,,H,VVS2,1.01,1.37,64.0,59.0,Excellent,Very Good,Slightly Thick to Very Thick,,7.61,5.55,3.55,3970,GIA,
Emerald,,H,VS2,1.08,1.36,68.4,65.0,Excellent,Excellent,Slightly Thick to Thick,,6.64,4.88,3.34,2690,GIA,
Princess,Ideal,G,VVS2,1.01,1.01,71.8,71.0,Excellent,Excellent,Slightly Thick to Thick,,5.48,5.44,3.91,3480,GIA,Faint
Oval,,G,VS1,1.0,1.37,66.5,56.0,Excellent,Good,Slightly Thick to Very Thick,,7.52,5.49,3.65,4270,GIA,
Marquise,,D,VS1,1.22,1.96,63.5,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.0,5.61,3.56,1310,IGI Lab-Grown,
Radiant,,G,VS2,1.01,1.25,68.2,66.0,Very Good,Excellent,Thick to Very Thick,,6.49,5.19,3.54,5320,GIA,
Cushion,Ideal,E,VS1,2.03,1.05,66.5,58.0,Excellent,Excellent,Slightly Thick to Very Thick,Pointed,7.58,7.23,4.81,3050,IGI Lab-Grown,
Marquise,,E,VS1,1.08,1.96,62.9,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.51,5.36,3.37,1090,IGI Lab-Grown,
Princess,Ideal,D,VS1,1.07,1.03,69.4,64.0,Excellent,Excellent,Medium,Pointed,5.82,5.66,3.93,1150,IGI Lab-Grown,
Pear,,F,VS2,1.0,1.58,62.3,57.0,Excellent,Excellent,Medium to Very Thick,,8.78,5.54,3.45,4740,GIA,
Radiant,,E,VS1,1.29,1.49,66.5,63.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.95,5.34,3.55,1250,IGI Lab-Grown,
Pear,,D,VS2,1.01,1.67,62.1,56.0,Excellent,Excellent,Medium to Thick,,9.11,5.44,3.38,3990,GIA,Medium
Cushion,Ideal,E,VS1,2.74,1.01,67.8,63.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.13,8.08,5.48,4410,IGI Lab-Grown,
Oval,,F,VS1,1.08,1.47,61.1,61.0,Excellent,Excellent,Medium,Pointed,8.44,5.74,3.51,1080,IGI Lab-Grown,
Round,Excellent,H,VS1,1.01,1.0,61.3,59.0,Excellent,Excellent,Slightly Thick,,6.41,6.44,3.94,4120,GIA,
Marquise,,E,VS1,1.08,2.03,59.6,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.98,5.4,3.22,1090,IGI Lab-Grown,
Round,Very Good,H,VS1,1.0,1.0,63.8,60.0,Excellent,Excellent,Slightly Thick to Thick,,6.26,6.29,4.0,4150,GIA,
Cushion Modified,Ideal,H,VS1,1.0,1.04,71.2,58.0,Excellent,Very Good,Slightly Thick to Very Thick,,5.59,5.39,3.84,2240,GIA,
Princess,Ideal,D,VS1,1.05,1.0,73.4,73.0,Excellent,Excellent,Medium,Pointed,5.48,5.46,4.01,1130,IGI Lab-Grown,
Marquise,,D,VVS2,1.01,1.85,66.3,56.0,Excellent,Very Good,Thick to Very Thick,,9.45,5.12,3.4,8410,GIA,Faint
Pear,,F,VS1,1.07,1.77,63.0,62.0,Excellent,Excellent,Medium,Pointed,9.72,5.49,3.46,1060,IGI Lab-Grown,
Oval,,F,VS1,1.02,1.49,63.0,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.31,5.59,3.52,1020,IGI Lab-Grown,
Oval,,E,VS1,1.08,1.44,62.5,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.32,5.76,3.6,1050,IGI Lab-Grown,
Princess,Ideal,G,VVS1,1.11,1.0,74.8,70.0,Excellent,Very Good,Very Thick,,5.5,5.49,4.1,4180,GIA,
Round,Excellent,H,VS1,1.01,1.0,63.3,57.0,Excellent,Excellent,Medium to Slightly Thick,,6.34,6.37,4.03,3740,GIA,Faint
Radiant,,E,VS2,1.02,1.26,74.2,66.0,Excellent,Excellent,Slightly Thick to Thick,,6.2,4.94,3.67,3710,GIA,
Marquise,,G,FL,1.01,2.04,59.6,62.0,Excellent,Excellent,Medium to Slightly Thick,,10.8,5.29,3.15,6920,GIA,
Cushion Modified,Very Good,H,VS2,1.01,1.11,67.5,69.0,Excellent,Excellent,Medium to Slightly Thick,,6.29,5.69,3.84,2350,GIA,Faint
Radiant,,G,VS1,1.0,1.3,68.3,72.0,Excellent,Very Good,Thick to Very Thick,,6.52,5.03,3.43,3560,GIA,
Oval,,G,VS2,1.0,1.41,63.8,60.0,Excellent,Excellent,Thick to Very Thick,,7.85,5.58,3.56,3940,GIA,
