Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Round,Excellent,H,VS2,1.0,1.01,62.2,60.0,Excellent,Excellent,Medium to Slightly Thick,,6.36,6.41,3.97,3750,GIA,
Pear,,D,VVS2,1.0,1.62,63.8,62.0,Excellent,Excellent,Thick to Very Thick,,8.75,5.41,3.45,3860,GIA,Strong
Pear,,G,VS2,1.0,1.68,63.3,57.0,Excellent,Very Good,Medium to Thick,,9.06,5.4,3.42,4090,GIA,
Radiant,,F,VS1,1.02,1.56,63.2,,,,,,,,,3550,GIA,Faint
Emerald,,H,VVS2,1.0,1.36,68.1,68.0,Excellent,Excellent,Slightly Thick to Thick,,6.49,4.78,3.26,2700,GIA,
Round,Excellent,H,VS2,1.02,1.0,62.7,58.0,Excellent,Excellent,Medium to Slightly Thick,,6.4,6.42,4.02,3800,GIA,
Radiant,,H,VVS1,1.01,1.26,68.3,66.0,Excellent,Excellent,Thick to Very Thick,,6.24,4.97,3.4,3690,GIA,
Oval,,F,VS2,1.0,1.32,64.7,63.0,Excellent,Very Good,Slightly Thick to Very Thick,,7.46,5.65,3.66,4500,GIA,
Round,Excellent,H,VS2,1.01,1.0,62.5,58.0,Excellent,Excellent,Slightly Thick,,6.39,6.4,4.0,3990,GIA,
Heart,,D,VS1,1.01,1.12,53.7,63.0,Excellent,Very Good,Slightly Thick to Extremely Thick,,6.41,7.16,3.84,5120,GIA,
Round,Excellent,H,VS2,1.0,1.01,62.5,56.0,Excellent,Very Good,Medium to Slightly Thick,,6.34,6.38,3.98,3660,GIA,
Emerald,,H,VS2,1.0,1.36,68.5,68.0,Excellent,Excellent,Thick to Very Thick,,6.45,4.76,3.26,2860,GIA,
Radiant,,G,IF,1.01,1.07,64.5,70.0,Excellent,Very Good,Medium to Slightly Thick,,6.01,5.63,3.64,4940,GIA,
Radiant,,G,VS2,1.04,1.14,69.4,63.0,Very Good,Very Good,Slightly Thick,,6.11,5.35,3.71,4150,GIA,
Oval,,G,VS2,1.01,1.42,57.0,63.0,Very Good,Very Good,Slightly Thick to Very Thick,,8.12,5.73,3.26,4300,GIA,
Heart,,G,VS2,1.5,1.13,59.6,59.0,Excellent,Excellent,Medium to Very Thick,,6.86,7.72,4.6,7740,GIA,
Heart,,G,VS2,1.0,1.12,59.4,61.0,Excellent,Excellent,Slightly Thick to Thick,,6.24,6.99,4.15,4000,GIA,
Radiant,,G,VS1,1.02,1.19,75.6,73.0,Very Good,Good,Slightly Thick to Very Thick,,5.9,4.95,3.75,3700,GIA,
Radiant,,H,VS1,1.0,1.26,68.4,66.0,Excellent,Excellent,Thick to Very Thick,,6.29,4.99,3.42,3190,GIA,
Oval,,D,VS2,1.01,1.42,64.5,60.0,Excellent,Very Good,Slightly Thick to Very Thick,,7.72,5.44,3.51,4560,GIA,
Oval,,G,VS2,1.0,1.38,58.9,61.0,Very Good,Very Good,Thick to Very Thick,,7.87,5.71,3.36,4260,GIA,
Heart,,F,VS2,1.6,1.17,59.2,59.0,Excellent,Excellent,Medium to Thick,,6.94,8.11,4.8,8030,GIA,
Emerald,,H,VS1,1.0,1.33,65.4,69.0,Excellent,Excellent,Thick,,6.55,4.93,3.23,2620,GIA,
Pear,,H,VS1,1.01,1.69,59.3,62.0,Excellent,Excellent,Slightly Thick to Thick,,9.29,5.49,3.26,3930,GIA,Medium
Princess,Ideal,H,VS2,1.0,1.03,73.3,73.0,Excellent,Excellent,Medium to Slightly Thick,,5.69,5.5,4.03,2660,GIA,
Radiant,,F,VS2,1.01,1.29,69.3,66.0,Excellent,Excellent,Slightly Thick to Thick,,6.66,5.18,3.59,3460,GIA,Medium
Heart,,D,VS1,1.13,1.15,59.4,60.0,Excellent,Excellent,Slightly Thick to Very Thick,,6.2,7.13,4.23,4570,GIA,Faint
Round,Excellent,H,VS2,1.0,1.01,62.3,58.0,Very Good,Excellent,Medium to Slightly Thick,,6.33,6.38,3.96,3860,GIA,Faint
Heart,,D,VVS1,1.01,1.12,59.1,59.0,Excellent,Very Good,Slightly Thick to Very Thick,,6.16,6.89,4.07,7520,GIA,
Radiant,,H,VVS1,1.02,1.27,67.1,66.0,Excellent,Excellent,Medium to Slightly Thick,,6.44,5.09,3.42,3390,GIA,
Round,Very Good,H,VVS2,1.0,1.01,64.8,58.0,Excellent,Very Good,Slightly Thick to Thick,,6.14,6.22,4.01,3780,GIA,
Round,Very Good,H,VVS2,1.0,1.01,64.2,56.0,Excellent,Very Good,Slightly Thick to Thick,,6.19,6.26,4.0,3760,GIA,
Oval,,G,VS2,1.03,1.49,60.6,58.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.18,5.5,3.33,3510,GIA,Faint
Pear,,F,VVS2,1.01,1.55,62.4,55.0,Excellent,Excellent,Thick to Very Thick,,8.49,5.49,3.43,4500,GIA,Faint
Square Radiant,,H,VVS1,1.02,1.0,70.4,56.0,Excellent,Excellent,Thick,,5.78,5.76,4.06,5130,GIA,
Pear,,G,VS1,1.01,1.58,60.2,63.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.83,5.58,3.36,4700,GIA,
Round,Excellent,H,VS1,1.0,1.01,61.9,61.0,Excellent,Excellent,Medium to Slightly Thick,,6.38,6.42,3.96,4100,GIA,
Radiant,,G,VS1,1.2,1.28,67.9,67.0,Excellent,Excellent,Slightly Thick to Thick,,6.75,5.27,3.58,5490,GIA,
Radiant,,H,VS1,1.02,1.28,68.5,66.0,Very Good,Very Good,Thick to Very Thick,,6.37,4.98,3.41,3210,GIA,Medium
Princess,Ideal,G,VVS2,1.02,1.03,72.6,73.0,Excellent,Very Good,Slightly Thick,,5.76,5.57,4.04,4030,GIA,
Pear,,H,IF,1.11,1.68,61.3,61.0,Excellent,Excellent,Medium to Thick,,9.6,5.71,3.5,4570,GIA,
Marquise,,G,VVS2,1.2,2.07,62.6,59.0,Excellent,Excellent,Slightly Thick to Thick,,11.31,5.46,3.42,4570,GIA,Strong
Round,Excellent,H,VS2,1.02,1.0,62.3,58.0,Excellent,Excellent,Slightly Thick,,6.39,6.42,3.99,4010,GIA,
Princess,Ideal,H,VVS2,1.0,1.02,74.6,70.0,Excellent,Very Good,Slightly Thick to Thick,,5.39,5.31,3.97,2790,GIA,
Heart,,F,VS1,1.5,1.11,58.8,60.0,Excellent,Very Good,Slightly Thick to Very Thick,,6.98,7.77,4.57,2790,GIA,
Emerald,,H,VS2,1.0,1.36,68.5,66.0,Excellent,Very Good,Medium to Thick,,6.47,4.77,3.27,2670,GIA,
Princess,Ideal,G,VS1,1.03,1.0,72.5,69.0,Excellent,Very Good,Slightly Thick to Thick,,5.61,5.61,4.06,3580,GIA,
Radiant,,E,VS2,1.01,1.3,65.5,71.0,Excellent,Very Good,Thick,,6.7,5.15,3.38,5360,GIA,
Pear,,E,VVS1,1.01,1.52,63.8,56.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.49,5.6,3.57,4920,GIA,Faint
Oval,,F,VS2,1.01,1.38,64.6,62.0,Excellent,Very Good,Very Thick,,7.51,5.44,3.51,4460,GIA,
Pear,,F,VS1,1.0,1.53,63.2,62.0,Very Good,Excellent,Medium to Thick,,8.52,5.58,3.53,4340,GIA,
Round,Excellent,H,VS1,1.0,1.01,63.8,56.0,Excellent,Excellent,Medium to Slightly Thick,,6.29,6.35,4.03,4120,GIA,
Oval,,E,VS2,1.01,1.39,62.4,57.0,Excellent,Excellent,Thin to Thick,,7.88,5.66,3.53,4940,GIA,
Oval,,D,VS2,1.01,1.4,62.0,59.0,Excellent,Very Good,Slightly Thick to Thick,,7.96,5.69,3.53,4870,GIA,
Princess,Ideal,G,VVS1,1.02,1.01,71.5,72.0,Excellent,Very Good,Thick,,5.45,5.4,3.87,3480,GIA,Faint
Round,Very Good,F,VS2,1.0,1.01,64.1,58.0,Excellent,Very Good,Medium to Slightly Thick,,6.29,6.34,4.05,4130,GIA,Strong
Pear,,H,VVS2,1.0,1.49,59.6,61.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.6,5.76,3.43,4110,GIA,
Pear,,H,VS2,1.0,1.49,62.8,56.0,Very Good,Very Good,Medium to Very Thick,,8.4,5.64,3.54,3000,GIA,Medium
Marquise,,H,VS2,2.5,2.3,62.7,56.0,Very Good,Very Good,Thick to Very Thick,,15.21,6.61,4.14,26630,GIA,Faint
Princess,Ideal,E,VS1,1.01,1.02,72.0,73.0,Excellent,Excellent,Slightly Thick,,5.61,5.5,3.96,3720,GIA,
Heart,,H,VVS2,1.27,1.12,59.7,58.0,Very Good,Excellent,Slightly Thick to Very Thick,,6.65,7.42,4.43,5020,GIA,Faint
Oval,,D,VS1,1.0,1.35,62.7,63.0,Excellent,Excellent,Slightly Thick to Thick,,7.6,5.63,3.53,4720,GIA,Strong
Radiant,,E,VS2,1.03,1.13,74.4,73.0,Very Good,Good,Thick,,6.06,5.37,3.99,4300,GIA,
Round,Excellent,H,VS1,1.04,1.0,61.8,58.0,Excellent,Excellent,Medium to Slightly Thick,,6.45,6.48,4.0,3640,GIA,Faint
Heart,,G,VVS1,1.0,1.18,55.6,55.0,Excellent,Excellent,Medium to Very Thick,,6.03,7.09,3.94,3690,GIA,Medium
Oval,,G,VS2,1.12,1.43,61.8,63.0,Excellent,Excellent,Medium to Thick,,8.44,5.92,3.66,4580,GIA,Faint
Oval,,D,VS2,1.01,1.42,60.0,58.0,Excellent,Excellent,Thick to Very Thick,,8.02,5.65,3.39,4390,GIA,Strong
Marquise,,D,IF,1.0,1.88,63.4,57.0,Excellent,Excellent,Slightly Thick to Thick,,10.04,5.33,3.38,7180,GIA,Medium
Emerald,,H,VS2,1.0,1.37,68.4,68.0,Excellent,Very Good,Slightly Thick to Thick,,6.5,4.75,3.25,2670,GIA,
Princess,Ideal,H,VVS1,1.07,1.01,72.4,70.0,Excellent,Excellent,Thick,,5.56,5.53,4.0,3510,GIA,
Emerald,,H,VS2,1.0,1.37,68.2,69.0,Excellent,Very Good,Slightly Thick to Thick,,6.53,4.77,3.25,2660,GIA,
Radiant,,G,VS1,1.01,1.3,67.3,67.0,Excellent,Very Good,Slightly Thick to Thick,,6.63,5.1,3.43,5040,GIA,
Marquise,,E,VS2,1.01,1.86,62.8,62.0,Excellent,Excellent,Slightly Thick to Thick,,9.88,5.32,3.34,5550,GIA,
Emerald,,H,VS2,1.01,1.35,69.7,67.0,Excellent,Excellent,Slightly Thick to Thick,,6.47,4.81,3.36,2560,GIA,
Oval,,F,VS1,1.01,1.41,58.6,65.0,Very Good,Very Good,Medium to Thick,,8.04,5.72,3.35,5080,GIA,
Oval,,D,VS1,1.01,1.41,57.0,61.0,Excellent,Very Good,Slightly Thick to Thick,,8.11,5.76,3.28,5080,GIA,Faint
Heart,,G,VVS2,1.02,1.16,58.0,58.0,Excellent,Excellent,Slightly Thick to Very Thick,,5.98,6.96,4.03,4730,GIA,
Round,Excellent,H,VS2,1.0,1.01,63.1,57.0,Excellent,Excellent,Medium to Slightly Thick,,6.32,6.37,4.0,3900,GIA,
Princess,Ideal,G,VVS1,1.01,1.02,72.3,70.0,Excellent,Very Good,Medium to Slightly Thick,,5.51,5.42,3.92,3470,GIA,
Princess,Ideal,G,VS1,1.08,1.02,72.4,70.0,Excellent,Excellent,Thick to Very Thick,,5.56,5.47,3.96,4310,GIA,Faint
Oval,,D,VS2,1.0,1.38,68.7,56.0,Excellent,Very Good,Very Thick to Extremely Thick,,7.29,5.28,3.63,3970,GIA,Medium
Pear,,E,VS2,1.0,1.59,62.9,64.0,Excellent,Very Good,Thick to Very Thick,,8.79,5.53,3.48,5020,GIA,
Cushion Modified,Very Good,G,VS2,1.0,1.06,67.9,57.0,Excellent,Very Good,Slightly Thick to Thick,,5.77,5.42,3.68,2440,GIA,
Heart,,H,VVS1,1.0,1.17,59.3,61.0,Excellent,Excellent,Slightly Thick to Thick,,6.05,7.07,4.19,4160,GIA,
Princess,Ideal,G,VVS1,1.02,1.03,71.1,72.0,Excellent,Excellent,Slightly Thick,,5.72,5.53,3.93,3550,GIA,
Heart,,H,VVS2,1.51,1.13,61.8,53.0,Excellent,Excellent,Thick to Extremely Thick,,6.86,7.77,4.8,8140,GIA,
Emerald,,E,VS2,1.0,1.45,66.7,67.0,Very Good,Very Good,Thin to Thick,,6.98,4.82,3.21,2820,GIA,Faint
Oval,,H,VVS1,1.0,1.38,63.4,61.0,Excellent,Excellent,Slightly Thick to Thick,,7.72,5.61,3.56,4070,GIA,
Round,Excellent,H,VS2,1.0,1.0,61.7,59.0,Excellent,Excellent,Medium to Slightly Thick,,6.4,6.43,3.95,3820,GIA,
Marquise,,D,IF,1.6,2.03,54.5,60.0,Excellent,Very Good,Medium to Very Thick,,12.85,6.33,3.45,19810,GIA,
Oval,,F,VS1,1.01,1.38,63.4,63.0,Excellent,Excellent,Slightly Thick to Thick,,7.74,5.6,3.55,4840,GIA,
Heart,,G,VS1,1.01,1.18,60.6,54.0,Excellent,Very Good,Thick to Extremely Thick,,5.77,6.81,4.13,3660,GIA,Faint
Round,Very Good,H,VS2,1.0,1.01,64.9,57.0,Excellent,Very Good,Slightly Thick to Thick,,6.16,6.23,4.02,3380,GIA,
Heart,,E,VS1,1.01,1.16,59.9,59.0,Excellent,Very Good,Slightly Thick to Very Thick,,5.88,6.82,4.08,4110,GIA,Faint
Marquise,,F,IF,1.05,1.85,63.0,63.0,Excellent,Excellent,Slightly Thick to Thick,,9.97,5.4,3.4,7130,GIA,
Pear,,D,VS1,1.0,1.56,61.1,60.0,Excellent,Excellent,Medium to Thick,,8.91,5.7,3.48,3900,GIA,Medium
Oval,,H,IF,1.0,1.48,61.9,63.0,Excellent,Very Good,Medium to Thick,,8.19,5.52,3.42,3930,GIA,
Square Radiant,,H,VS1,1.03,1.0,73.0,55.0,Excellent,Excellent,Medium to Very Thick,,5.67,5.67,4.13,4010,GIA,Strong
Round,Excellent,H,VS2,1.0,1.01,62.1,55.0,Excellent,Excellent,Medium to Slightly Thick,,6.38,6.42,3.97,3750,GIA,Faint
Pear,,G,VS2,1.0,1.69,60.6,63.0,Excellent,Excellent,Medium to Thick,,9.29,5.49,3.33,4440,GIA,
Pear,,E,VS1,1.0,1.6,60.0,63.0,Excellent,Excellent,Thin to Thick,,9.02,5.62,3.37,4240,GIA,Medium
Princess,Very Good,G,VVS2,1.0,1.03,73.0,76.0,Excellent,Very Good,Thin to Medium,,5.74,5.57,4.07,3770,GIA,
Heart,,H,VS2,1.01,1.18,59.5,59.0,Excellent,Excellent,Medium to Thick,,5.88,6.95,4.13,3380,GIA,
Emerald,,H,VS2,1.0,1.36,68.5,65.0,Excellent,Very Good,Medium to Slightly Thick,,6.48,4.75,3.26,2720,GIA,
Pear,,D,VS1,1.0,1.48,63.9,61.0,Excellent,Excellent,Medium to Very Thick,,8.21,5.56,3.55,4130,GIA,Faint
Heart,,E,VS2,1.01,1.09,59.3,62.0,Excellent,Very Good,Thick to Very Thick,,6.21,6.74,4.0,3830,GIA,
Emerald,,H,VS1,1.0,1.3,71.8,63.0,Excellent,Excellent,Thick,,6.19,4.77,3.43,2510,GIA,Medium
Heart,,H,VS2,1.59,1.17,59.7,60.0,Excellent,Excellent,Medium to Thick,,6.94,8.14,4.87,8000,GIA,
Radiant,,G,VS1,1.01,1.38,69.0,67.0,Excellent,Excellent,Thick to Very Thick,,6.86,4.96,3.42,3560,GIA,
Round,Excellent,H,VS2,1.01,1.0,62.1,56.0,Excellent,Excellent,Thin to Medium,,6.43,6.46,4.0,3850,GIA,
Pear,,F,IF,1.0,1.62,61.8,57.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.88,5.49,3.39,3810,GIA,Strong
Princess,Ideal,F,VS2,1.01,1.01,70.0,75.0,Excellent,Very Good,Thin to Medium,,5.68,5.63,3.94,4190,GIA,
Cushion Modified,Ideal,H,VS2,1.0,1.06,67.9,60.0,Excellent,Excellent,Medium to Very Thick,,5.74,5.42,3.68,2440,GIA,
Marquise,,D,VVS1,1.02,1.99,60.4,60.0,Excellent,Excellent,Medium to Slightly Thick,,10.58,5.32,3.21,5930,GIA,Medium
Emerald,,H,VS1,1.0,1.3,72.1,65.0,Excellent,Excellent,Medium to Very Thick,,6.16,4.74,3.42,2740,GIA,
Marquise,,H,VVS2,1.01,2.14,60.6,60.0,Excellent,Very Good,Slightly Thick to Very Thick,,11.07,5.17,3.14,5110,GIA,Faint
Round,Excellent,G,VVS2,1.01,1.01,60.9,60.0,Excellent,Excellent,Slightly Thick,,6.4,6.44,3.91,5110,GIA,Strong
Round,Excellent,H,VS2,1.0,1.01,61.3,61.0,Excellent,Excellent,Medium to Slightly Thick,,6.38,6.42,3.92,3920,GIA,Faint
Marquise,,G,IF,1.0,1.85,62.9,63.0,Excellent,Excellent,Medium to Thick,,9.79,5.28,3.32,7360,GIA,
Pear,,D,VS1,1.01,1.51,63.3,57.0,Excellent,Excellent,Slightly Thick to Thick,,8.49,5.61,3.55,3910,GIA,Medium
Heart,,F,VS1,1.01,1.16,62.6,59.0,Excellent,Very Good,Slightly Thick to Extremely Thick,,5.78,6.7,4.19,1810,GIA,
Pear,,G,VS2,1.0,1.82,61.7,56.0,Very Good,Very Good,Slightly Thick to Extremely Thick,,9.58,5.27,3.25,3400,GIA,Faint
Princess,Ideal,H,VS2,1.19,1.02,74.2,68.0,Excellent,Excellent,Thick to Very Thick,,5.79,5.69,4.22,4110,GIA,
Marquise,,D,VS2,1.01,1.76,65.0,58.0,Excellent,Excellent,Slightly Thick to Thick,,9.27,5.27,3.43,5590,GIA,
Round,Very Good,G,VS2,1.01,1.01,64.4,58.0,Excellent,Very Good,Slightly Thick to Thick,,6.22,6.29,4.03,3730,GIA,Medium
Oval,,G,VVS2,1.01,1.38,63.7,58.0,Excellent,Excellent,Thick to Very Thick,,7.7,5.58,3.55,5090,GIA,
Round,Excellent,H,VS2,1.0,1.01,63.3,57.0,Excellent,Very Good,Medium to Slightly Thick,,6.3,6.37,4.01,3660,GIA,
Radiant,,H,VS1,1.2,1.31,67.8,68.0,Excellent,Excellent,Medium to Thick,,7.06,5.4,3.67,4370,GIA,Faint
Radiant,,F,VS1,1.0,1.24,69.6,66.0,Excellent,Excellent,Thick,,6.17,4.98,3.47,3740,GIA,
Radiant,,H,VVS2,1.01,1.35,65.1,67.0,Excellent,Excellent,Thick,,6.94,5.13,3.34,3810,GIA,
Round,Excellent,G,VS2,1.0,1.01,63.0,55.0,Excellent,Very Good,Medium to Slightly Thick,,6.3,6.38,3.99,4000,GIA,
Princess,Ideal,H,VVS2,1.0,1.02,74.8,72.0,Excellent,Very Good,Thick to Very Thick,,5.33,5.24,3.92,2830,GIA,
Heart,,D,VVS1,1.08,1.19,59.8,59.0,Excellent,Excellent,Thick to Very Thick,,5.98,7.1,4.25,7530,GIA,
Round,Excellent,H,VS2,1.01,1.0,61.8,56.0,Excellent,Excellent,Medium to Slightly Thick,,6.39,6.42,3.96,4100,GIA,
Marquise,,F,IF,1.7,1.99,63.1,58.0,Excellent,Excellent,Medium to Thick,,12.38,6.22,3.92,20740,GIA,
Round,Excellent,H,VS2,1.01,1.01,62.8,59.0,Excellent,Excellent,Slightly Thick,,6.34,6.39,4.0,3820,GIA,
Marquise,,E,VS1,1.8,1.96,55.4,68.0,Good,Very Good,Thin to Thick,Small,13.02,6.64,3.68,22370,GIA,
Radiant,,H,IF,1.03,1.29,67.6,68.0,Excellent,Excellent,Slightly Thick to Thick,,6.54,5.07,3.43,3910,GIA,
Cushion Modified,Very Good,H,VS1,1.01,1.09,68.5,60.0,Excellent,Excellent,Slightly Thick to Very Thick,,5.89,5.41,3.71,2400,GIA,Faint
Marquise,,H,IF,1.05,2.3,60.2,61.0,Excellent,Very Good,Thick to Very Thick,,11.58,5.03,3.03,5470,GIA,
Heart,,G,VVS2,1.01,1.2,63.8,60.0,Excellent,Very Good,Slightly Thick to Very Thick,,5.63,6.77,4.32,4310,GIA,
Oval,,D,VS2,1.01,1.47,60.7,63.0,Excellent,Very Good,Medium to Thick,,8.25,5.63,3.42,5180,GIA,
Oval,,D,VS2,1.0,1.36,65.1,55.0,Excellent,Very Good,Thick to Extremely Thick,,7.54,5.56,3.62,4600,GIA,
Radiant,,G,VS1,1.01,1.25,67.7,58.0,Very Good,Very Good,Slightly Thick to Thick,,6.62,5.31,3.59,4060,GIA,
Heart,,D,VS1,1.5,1.18,68.6,54.0,Excellent,Excellent,Very Thick to Extremely Thick,,6.27,7.37,5.05,9610,GIA,Faint
Round,Very Good,H,VVS2,1.01,1.01,64.5,58.0,Excellent,Excellent,Medium to Thick,,6.24,6.29,4.04,3740,GIA,
Round,Excellent,H,VS2,1.01,1.0,62.3,56.0,Excellent,Excellent,Medium to Slightly Thick,,6.41,6.43,4.0,4110,GIA,Strong
Marquise,,D,VS2,1.02,1.86,62.0,58.0,Excellent,Excellent,Slightly Thick to Thick,,9.82,5.29,3.28,4880,GIA,
Heart,,D,VS1,1.01,1.02,48.3,55.0,Very Good,Good,Medium to Very Thick,Small,7.0,6.88,3.32,5280,GIA,Medium
Round,Excellent,H,VS2,1.0,1.01,62.1,58.0,Excellent,Excellent,Medium to Slightly Thick,,6.34,6.39,3.95,3860,GIA,
Round,Very Good,G,VS2,1.0,1.01,64.9,56.0,Excellent,Very Good,Thick,,6.17,6.24,4.03,4080,GIA,
Oval,,E,VS1,1.0,1.4,63.7,62.0,Excellent,Very Good,Slightly Thick to Very Thick,,7.76,5.53,3.52,4960,GIA,
Pear,,D,VS2,1.0,1.82,63.6,65.0,Excellent,Excellent,Thick to Very Thick,,9.64,5.31,3.38,4660,GIA,
Princess,Ideal,D,VS2,1.06,1.01,72.1,75.0,Excellent,Very Good,Thick to Very Thick,,5.64,5.61,4.05,3410,GIA,
Pear,,E,VS2,1.02,1.62,62.7,56.0,Very Good,Very Good,Medium to Thick,,9.02,5.56,3.49,4840,GIA,
Radiant,,D,VS1,1.01,1.3,61.3,71.0,Excellent,Very Good,Slightly Thick to Thick,,6.69,5.14,3.15,4930,GIA,
Round,Excellent,H,VS2,1.02,1.0,61.5,60.0,Excellent,Excellent,Medium to Slightly Thick,,6.45,6.48,3.98,4090,GIA,
Radiant,,E,VS2,1.0,1.35,68.8,68.0,Excellent,Very Good,Thick to Very Thick,,6.59,4.87,3.35,3620,GIA,
Marquise,,D,VS1,1.21,1.82,60.8,59.0,Excellent,Very Good,Thick to Very Thick,,10.33,5.67,3.44,8110,GIA,
Radiant,,F,VS2,1.01,1.29,68.7,67.0,Excellent,Excellent,Slightly Thick to Very Thick,,6.62,5.12,3.52,5180,GIA,
Pear,,G,VS1,1.02,1.65,62.9,60.0,Excellent,Excellent,Slightly Thick to Very Thick,,9.04,5.49,3.45,3440,GIA,Strong
Princess,Ideal,G,VVS1,1.01,1.01,72.3,69.0,Excellent,Very Good,Slightly Thick to Thick,,5.51,5.44,3.94,3650,GIA,
Marquise,,H,VS2,1.03,2.0,60.6,58.0,Excellent,Very Good,Medium to Thick,,10.46,5.24,3.17,4500,GIA,Faint
Round,Very Good,G,VS1,1.01,1.01,64.6,57.0,Excellent,Very Good,Slightly Thick to Thick,,6.17,6.26,4.01,4030,GIA,
Princess,Very Good,G,VVS2,1.0,1.05,75.2,77.0,Excellent,Very Good,Slightly Thick to Thick,,5.57,5.32,4.0,3410,GIA,
Radiant,,E,VVS2,1.01,1.16,74.7,69.0,Excellent,Very Good,Very Thick,,5.88,5.05,3.78,4470,GIA,
Princess,Ideal,F,VVS2,1.0,1.05,72.8,73.0,Excellent,Very Good,Slightly Thick,,5.78,5.52,4.02,3600,GIA,
Heart,,H,VVS2,1.4,1.12,58.5,60.0,Excellent,Very Good,Slightly Thick to Thick,,6.85,7.66,4.48,7100,GIA,
Radiant,,G,VVS2,1.02,1.26,68.5,68.0,Excellent,Excellent,Slightly Thick to Thick,,6.4,5.09,3.49,4040,GIA,
Heart,,D,VS1,1.0,1.2,61.6,60.0,Excellent,Excellent,Slightly Thick to Thick,,5.77,6.94,4.28,4780,GIA,
Princess,Ideal,H,VS1,1.0,1.0,73.8,75.0,Excellent,Very Good,Slightly Thick to Very Thick,,5.35,5.34,3.94,2910,GIA,
Radiant,,D,VS1,1.07,1.08,70.0,68.0,Very Good,Very Good,Thick to Very Thick,,5.85,5.42,3.79,5290,GIA,Faint
Heart,,E,VS2,1.15,1.0,63.1,56.0,Very Good,Very Good,Thick to Extremely Thick,,6.7,6.7,4.23,4220,GIA,Strong
Cushion Modified,Very Good,H,VS1,1.01,1.09,66.2,64.0,Excellent,Very Good,Thick to Very Thick,,5.88,5.4,3.58,2450,GIA,
Marquise,,F,VS1,1.01,2.07,64.7,57.0,Excellent,Very Good,Slightly Thick to Very Thick,,10.49,5.07,3.28,5820,GIA,
Oval,,E,VS2,1.0,1.51,60.9,60.0,Very Good,Very Good,Thick to Very Thick,,8.3,5.48,3.34,5040,GIA,Faint
Princess,Ideal,G,VS1,1.03,1.02,73.1,68.0,Excellent,Very Good,Thick to Very Thick,,5.57,5.46,3.99,3610,GIA,
Heart,,F,VS2,1.52,1.21,63.5,55.0,Excellent,Excellent,Medium to Very Thick,,6.48,7.82,4.97,7610,GIA,
Oval,,F,VS2,1.01,1.4,63.6,58.0,Excellent,Very Good,Slightly Thick to Very Thick,,7.89,5.65,3.59,4570,GIA,Faint
Round,Excellent,H,VS2,1.0,1.01,62.3,59.0,Excellent,Excellent,Medium to Slightly Thick,,6.34,6.38,3.96,3960,GIA,
Oval,,E,VVS1,1.0,1.49,61.6,59.0,Very Good,Very Good,Thick to Extremely Thick,,8.07,5.41,3.33,4540,GIA,Medium
